Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
$300-$399,0,0,0,0,0,0,0,0,0,5,Naring
$400-$499,0,0,0,0,0,0,0,0,0,4,Naring
$500-$649,0,0,0,0,0,0,0,0,0,3,Naring
$650-$799,0,0,0,0,0,4,0,0,0,5,Naring
$800-$999 ,0,0,0,0,3,0,3,0,0,6,Naring
"$1,000-$1,249",0,0,3,0,4,5,0,0,0,13,Naring
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,5,Naring
"$1,500-$1,749",0,0,3,0,0,0,0,0,0,0,Naring
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Naring
"$2,000-$2,999",0,0,0,0,3,0,0,0,0,5,Naring
"$3,000-$3,499",0,0,0,0,0,3,0,0,0,3,Naring
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Naring
Personal income not stated,0,0,6,0,3,7,3,0,0,23,Naring
Total,9,4,14,7,20,24,12,0,0,93,Naring
Negative/Nil income,4,0,0,0,0,0,0,0,0,7,Poowong East
$1-$149,0,0,0,0,0,0,0,0,0,0,Poowong East
$150-$299,0,0,0,0,0,3,0,4,0,4,Poowong East
$300-$399,0,0,0,0,0,0,0,0,0,4,Poowong East
$400-$499,0,0,0,0,0,7,0,3,0,9,Poowong East
$500-$649,0,0,0,5,0,3,0,0,0,8,Poowong East
$650-$799,0,0,0,0,0,0,0,0,0,0,Poowong East
$800-$999 ,0,0,0,0,0,0,0,0,0,7,Poowong East
"$1,000-$1,249",0,0,3,0,0,0,0,0,0,5,Poowong East
"$1,250-$1,499",0,0,0,3,0,0,0,0,0,3,Poowong East
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,5,Poowong East
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,4,Poowong East
"$2,000-$2,999",0,0,0,3,0,0,0,0,0,4,Poowong East
"$3,000-$3,499",0,0,0,0,0,4,0,0,0,3,Poowong East
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Poowong East
Personal income not stated,0,0,0,0,0,0,0,0,0,7,Poowong East
Total,4,4,8,14,5,23,11,10,4,77,Poowong East
Negative/Nil income,365,39,40,55,71,106,86,31,8,814,West Wodonga
$1-$149,217,14,9,18,26,41,30,9,0,366,West Wodonga
$150-$299,124,62,60,43,39,79,131,38,12,588,West Wodonga
$300-$399,55,55,92,76,80,146,264,183,32,985,West Wodonga
$400-$499,41,66,94,74,92,151,301,218,150,1178,West Wodonga
$500-$649,58,102,122,112,109,156,197,85,30,978,West Wodonga
$650-$799,40,124,189,128,124,134,153,59,17,977,West Wodonga
$800-$999 ,23,155,266,195,186,218,129,44,6,1212,West Wodonga
"$1,000-$1,249",9,107,325,238,265,220,114,17,4,1294,West Wodonga
"$1,250-$1,499",0,56,207,207,202,137,48,14,0,879,West Wodonga
"$1,500-$1,749",0,20,149,176,171,131,48,7,4,715,West Wodonga
"$1,750-$1,999",0,8,84,125,143,93,18,0,0,479,West Wodonga
"$2,000-$2,999",0,6,50,143,203,141,17,0,0,556,West Wodonga
"$3,000-$3,499",0,0,8,16,33,16,9,0,0,88,West Wodonga
"$3,500 or more",0,0,10,23,37,36,6,3,0,118,West Wodonga
Personal income not stated,68,64,115,113,115,73,84,63,24,718,West Wodonga
Total,996,870,1831,1758,1895,1878,1638,781,298,11954,West Wodonga
Negative/Nil income,3,0,0,0,4,4,0,0,0,16,Gormandale
$1-$149,0,0,0,0,0,3,0,0,0,4,Gormandale
$150-$299,0,3,3,3,4,0,4,0,0,14,Gormandale
$300-$399,0,0,4,4,0,6,5,3,0,34,Gormandale
$400-$499,0,0,0,7,0,9,4,4,0,26,Gormandale
$500-$649,0,0,0,3,0,5,8,3,0,19,Gormandale
$650-$799,0,0,3,7,5,6,5,0,0,24,Gormandale
$800-$999 ,0,3,0,0,0,0,5,0,0,11,Gormandale
"$1,000-$1,249",0,0,6,3,0,9,0,0,0,21,Gormandale
"$1,250-$1,499",0,0,4,0,3,3,0,0,0,13,Gormandale
"$1,500-$1,749",0,0,0,4,0,3,0,0,0,12,Gormandale
"$1,750-$1,999",0,0,6,8,0,0,0,0,0,16,Gormandale
"$2,000-$2,999",0,0,3,4,3,7,0,0,0,16,Gormandale
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Gormandale
"$3,500 or more",0,0,6,4,0,0,0,0,0,7,Gormandale
Personal income not stated,0,0,5,10,0,3,10,0,0,32,Gormandale
Total,13,10,26,54,31,55,42,14,0,255,Gormandale
Negative/Nil income,27,6,13,5,7,4,9,4,0,67,Allansford
$1-$149,11,0,0,0,5,3,0,0,0,24,Allansford
$150-$299,15,0,0,0,3,5,6,8,0,51,Allansford
$300-$399,3,0,4,4,9,7,37,5,5,73,Allansford
$400-$499,9,0,8,10,11,9,31,22,3,106,Allansford
$500-$649,6,0,4,4,9,16,15,6,0,68,Allansford
$650-$799,3,8,15,14,19,22,15,13,0,112,Allansford
$800-$999 ,5,18,18,17,25,23,12,3,0,111,Allansford
"$1,000-$1,249",0,4,29,19,25,13,12,4,0,112,Allansford
"$1,250-$1,499",0,10,13,31,24,23,16,0,0,113,Allansford
"$1,500-$1,749",0,0,18,16,17,25,0,0,0,77,Allansford
"$1,750-$1,999",0,0,10,12,14,5,4,0,0,46,Allansford
"$2,000-$2,999",0,0,8,17,14,16,3,0,0,52,Allansford
"$3,000-$3,499",0,0,0,0,0,6,0,0,0,7,Allansford
"$3,500 or more",0,0,0,3,9,4,0,0,0,19,Allansford
Personal income not stated,9,11,8,11,15,19,13,7,0,92,Allansford
Total,82,61,148,177,210,202,180,70,17,1143,Allansford
Negative/Nil income,60,13,4,7,6,15,12,14,9,132,Essendon West
$1-$149,24,7,0,0,5,5,3,0,6,49,Essendon West
$150-$299,14,8,3,3,6,5,3,3,0,44,Essendon West
$300-$399,7,7,7,4,8,6,18,6,6,72,Essendon West
$400-$499,0,7,6,3,14,5,15,17,10,77,Essendon West
$500-$649,0,4,5,9,9,11,19,13,0,73,Essendon West
$650-$799,4,8,11,7,11,3,8,7,0,70,Essendon West
$800-$999 ,3,11,10,4,9,18,9,6,0,73,Essendon West
"$1,000-$1,249",0,20,14,20,39,16,13,9,3,132,Essendon West
"$1,250-$1,499",0,0,15,8,31,14,5,5,0,78,Essendon West
"$1,500-$1,749",0,8,27,18,27,20,3,5,4,116,Essendon West
"$1,750-$1,999",0,0,14,16,20,11,0,0,0,57,Essendon West
"$2,000-$2,999",0,0,18,51,52,25,5,0,0,149,Essendon West
"$3,000-$3,499",0,0,8,16,9,5,0,0,0,33,Essendon West
"$3,500 or more",0,0,8,20,16,17,7,0,0,68,Essendon West
Personal income not stated,4,0,10,5,3,4,14,9,3,58,Essendon West
Total,117,110,175,199,268,169,124,86,47,1289,Essendon West
Negative/Nil income,0,0,0,0,0,0,0,0,0,3,Natya
$1-$149,0,0,0,0,0,0,0,0,0,0,Natya
$150-$299,0,0,0,0,0,0,0,0,0,0,Natya
$300-$399,0,0,0,0,0,0,0,0,0,0,Natya
$400-$499,0,4,0,0,0,0,0,0,0,0,Natya
$500-$649,0,0,0,0,0,0,0,0,0,0,Natya
$650-$799,0,0,0,0,0,0,0,0,0,0,Natya
$800-$999 ,0,0,0,0,0,0,0,0,0,9,Natya
"$1,000-$1,249",0,0,0,0,0,4,0,0,0,6,Natya
"$1,250-$1,499",0,0,0,0,4,4,0,0,0,3,Natya
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,6,Natya
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,3,Natya
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Natya
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Natya
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Natya
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Natya
Total,0,0,5,7,7,11,0,0,0,27,Natya
Negative/Nil income,4,0,0,0,0,0,0,0,0,5,McMahons Creek
$1-$149,3,0,0,0,0,0,0,0,0,3,McMahons Creek
$150-$299,0,0,0,0,0,0,0,0,0,3,McMahons Creek
$300-$399,0,0,0,0,0,5,0,0,0,10,McMahons Creek
$400-$499,0,0,0,0,3,5,5,3,0,17,McMahons Creek
$500-$649,0,0,0,0,4,0,3,0,0,15,McMahons Creek
$650-$799,0,0,0,5,0,3,0,0,0,11,McMahons Creek
$800-$999 ,0,0,0,0,0,0,0,0,0,9,McMahons Creek
"$1,000-$1,249",0,0,0,3,6,0,0,0,0,16,McMahons Creek
"$1,250-$1,499",0,0,0,3,0,6,0,0,0,5,McMahons Creek
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,4,McMahons Creek
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,McMahons Creek
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,McMahons Creek
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,McMahons Creek
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,McMahons Creek
Personal income not stated,0,0,4,0,7,0,0,0,0,14,McMahons Creek
Total,11,3,14,14,29,26,15,3,0,112,McMahons Creek
Negative/Nil income,16,0,5,6,12,21,12,3,0,75,Glengarry (Vic.)
$1-$149,17,4,0,0,0,4,5,0,0,30,Glengarry (Vic.)
$150-$299,8,0,3,3,4,3,4,5,0,37,Glengarry (Vic.)
$300-$399,0,4,8,3,9,9,7,10,3,58,Glengarry (Vic.)
$400-$499,8,3,3,3,9,7,17,15,3,65,Glengarry (Vic.)
$500-$649,4,3,8,7,8,18,7,4,0,58,Glengarry (Vic.)
$650-$799,4,5,11,12,0,12,15,8,0,63,Glengarry (Vic.)
$800-$999 ,0,10,13,8,13,21,13,0,0,79,Glengarry (Vic.)
"$1,000-$1,249",0,7,18,14,14,19,6,0,0,78,Glengarry (Vic.)
"$1,250-$1,499",0,4,19,12,10,17,3,0,0,66,Glengarry (Vic.)
"$1,500-$1,749",0,0,13,13,15,4,0,0,0,55,Glengarry (Vic.)
"$1,750-$1,999",0,0,12,10,17,9,0,0,0,45,Glengarry (Vic.)
"$2,000-$2,999",0,3,13,22,14,13,6,0,0,72,Glengarry (Vic.)
"$3,000-$3,499",0,0,0,4,6,0,0,0,0,15,Glengarry (Vic.)
"$3,500 or more",0,0,4,12,3,6,0,0,0,31,Glengarry (Vic.)
Personal income not stated,8,6,15,8,12,12,12,0,4,69,Glengarry (Vic.)
Total,76,52,134,133,144,180,109,41,9,890,Glengarry (Vic.)
Negative/Nil income,216,33,23,35,45,55,47,34,8,491,Aspendale
$1-$149,135,29,16,8,21,25,27,9,0,269,Aspendale
$150-$299,51,45,14,11,11,29,34,18,6,221,Aspendale
$300-$399,14,35,17,24,24,49,61,61,27,302,Aspendale
$400-$499,12,36,16,33,33,48,77,81,45,363,Aspendale
$500-$649,14,36,23,53,56,60,67,43,16,365,Aspendale
$650-$799,18,49,25,32,52,46,56,30,13,322,Aspendale
$800-$999 ,8,33,60,69,67,71,54,23,7,381,Aspendale
"$1,000-$1,249",0,25,72,109,104,88,49,14,4,462,Aspendale
"$1,250-$1,499",0,20,103,81,89,79,46,10,14,436,Aspendale
"$1,500-$1,749",0,6,89,89,97,82,20,18,0,403,Aspendale
"$1,750-$1,999",0,0,49,93,84,61,20,4,0,311,Aspendale
"$2,000-$2,999",0,5,100,240,238,119,22,4,0,729,Aspendale
"$3,000-$3,499",0,0,18,73,52,35,4,3,0,186,Aspendale
"$3,500 or more",0,0,13,104,107,50,7,0,0,282,Aspendale
Personal income not stated,24,16,25,29,47,36,31,32,9,237,Aspendale
Total,489,352,653,1069,1126,929,622,378,141,5765,Aspendale
Negative/Nil income,0,0,0,0,4,0,0,0,0,6,Woodleigh (Vic.)
$1-$149,0,0,0,0,0,3,0,0,0,3,Woodleigh (Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,4,Woodleigh (Vic.)
$300-$399,0,0,0,6,0,0,0,5,0,8,Woodleigh (Vic.)
$400-$499,0,0,0,0,0,3,0,7,0,16,Woodleigh (Vic.)
$500-$649,0,0,0,5,0,0,3,0,0,10,Woodleigh (Vic.)
$650-$799,0,0,0,0,0,0,0,0,0,7,Woodleigh (Vic.)
$800-$999 ,0,0,0,0,0,0,0,0,0,3,Woodleigh (Vic.)
"$1,000-$1,249",0,0,0,4,0,0,0,5,0,13,Woodleigh (Vic.)
"$1,250-$1,499",0,0,0,0,6,0,0,0,0,5,Woodleigh (Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Woodleigh (Vic.)
"$1,750-$1,999",0,0,3,0,0,0,0,0,0,4,Woodleigh (Vic.)
"$2,000-$2,999",0,0,0,0,0,5,0,0,0,5,Woodleigh (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Woodleigh (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Woodleigh (Vic.)
Personal income not stated,0,0,0,0,4,0,0,0,0,8,Woodleigh (Vic.)
Total,0,0,11,19,19,14,8,20,7,94,Woodleigh (Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,13,Warrion
$1-$149,0,0,0,0,0,0,0,0,0,6,Warrion
$150-$299,0,3,0,0,0,3,4,0,0,10,Warrion
$300-$399,0,0,0,0,0,4,4,5,0,19,Warrion
$400-$499,5,0,0,0,5,3,6,3,0,31,Warrion
$500-$649,0,0,0,0,5,0,0,0,0,13,Warrion
$650-$799,0,0,0,3,3,3,3,5,0,19,Warrion
$800-$999 ,0,3,5,3,0,4,0,0,0,13,Warrion
"$1,000-$1,249",0,4,0,5,5,0,0,0,0,13,Warrion
"$1,250-$1,499",0,0,0,5,4,0,3,0,0,13,Warrion
"$1,500-$1,749",0,0,0,0,0,5,0,0,0,8,Warrion
"$1,750-$1,999",0,0,0,0,0,3,0,0,0,3,Warrion
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,5,Warrion
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Warrion
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Warrion
Personal income not stated,0,0,0,0,0,0,6,0,0,12,Warrion
Total,10,16,15,21,17,35,34,13,8,170,Warrion
Negative/Nil income,0,0,0,0,0,0,0,0,0,6,Greens Creek (Vic.)
$1-$149,0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,6,Greens Creek (Vic.)
$300-$399,0,0,0,0,4,0,0,0,0,3,Greens Creek (Vic.)
$400-$499,0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
$500-$649,0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
$650-$799,0,0,4,0,0,0,0,0,0,9,Greens Creek (Vic.)
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
"$1,250-$1,499",0,0,0,0,4,0,0,0,0,0,Greens Creek (Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Greens Creek (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Greens Creek (Vic.)
Personal income not stated,0,0,0,0,0,0,0,3,0,3,Greens Creek (Vic.)
Total,5,0,6,10,3,7,5,0,0,41,Greens Creek (Vic.)
Negative/Nil income,587,153,169,184,160,238,251,110,31,1877,Mulgrave (Vic.)
$1-$149,215,68,33,36,65,66,84,37,15,621,Mulgrave (Vic.)
$150-$299,103,132,61,65,58,100,176,128,25,851,Mulgrave (Vic.)
$300-$399,44,119,82,78,103,148,343,345,65,1325,Mulgrave (Vic.)
$400-$499,24,95,101,101,111,120,253,309,202,1322,Mulgrave (Vic.)
$500-$649,17,99,171,116,158,146,180,136,49,1073,Mulgrave (Vic.)
$650-$799,16,100,183,167,189,140,147,106,26,1074,Mulgrave (Vic.)
$800-$999 ,8,111,306,232,211,175,140,45,8,1233,Mulgrave (Vic.)
"$1,000-$1,249",3,105,399,294,284,204,97,34,8,1428,Mulgrave (Vic.)
"$1,250-$1,499",0,56,298,284,247,132,68,20,3,1113,Mulgrave (Vic.)
"$1,500-$1,749",0,28,286,273,223,165,60,6,4,1043,Mulgrave (Vic.)
"$1,750-$1,999",0,8,174,228,152,106,25,8,0,698,Mulgrave (Vic.)
"$2,000-$2,999",0,10,220,463,347,169,43,3,0,1260,Mulgrave (Vic.)
"$3,000-$3,499",0,0,36,124,62,38,9,0,0,274,Mulgrave (Vic.)
"$3,500 or more",0,0,41,124,97,39,18,7,3,336,Mulgrave (Vic.)
Personal income not stated,35,58,148,117,123,82,79,121,86,845,Mulgrave (Vic.)
Total,1056,1141,2704,2894,2599,2073,1965,1420,519,16370,Mulgrave (Vic.)
Negative/Nil income,15,4,0,4,8,4,0,0,0,38,Moe South
$1-$149,16,0,0,0,0,0,0,0,0,19,Moe South
$150-$299,4,0,0,0,0,6,0,0,0,15,Moe South
$300-$399,0,0,7,4,0,5,5,8,0,27,Moe South
$400-$499,5,0,7,3,3,6,4,8,0,30,Moe South
$500-$649,6,3,0,0,7,11,0,4,0,33,Moe South
$650-$799,0,0,0,6,3,12,5,0,0,27,Moe South
$800-$999 ,0,3,5,8,5,9,7,4,0,40,Moe South
"$1,000-$1,249",0,0,4,5,5,7,6,5,0,35,Moe South
"$1,250-$1,499",0,0,3,0,10,12,4,0,0,28,Moe South
"$1,500-$1,749",0,0,3,3,3,10,0,0,0,17,Moe South
"$1,750-$1,999",0,0,0,0,7,6,0,0,0,15,Moe South
"$2,000-$2,999",0,0,4,11,16,0,5,0,0,36,Moe South
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,9,Moe South
"$3,500 or more",0,0,0,4,10,4,0,0,0,18,Moe South
Personal income not stated,7,3,6,3,14,11,10,0,0,50,Moe South
Total,53,21,34,48,84,99,66,33,3,439,Moe South
Negative/Nil income,638,165,156,157,108,120,105,64,62,1576,Hawthorn (Vic.)
$1-$149,274,107,39,33,33,29,47,33,15,611,Hawthorn (Vic.)
$150-$299,148,238,94,59,49,43,71,49,14,770,Hawthorn (Vic.)
$300-$399,84,270,144,61,64,66,66,78,36,865,Hawthorn (Vic.)
$400-$499,40,210,117,57,55,61,125,93,58,820,Hawthorn (Vic.)
$500-$649,32,261,289,109,108,79,134,116,42,1166,Hawthorn (Vic.)
$650-$799,22,206,283,100,81,88,140,86,37,1038,Hawthorn (Vic.)
$800-$999 ,9,176,346,149,104,127,133,82,25,1138,Hawthorn (Vic.)
"$1,000-$1,249",5,198,621,224,146,137,148,76,20,1578,Hawthorn (Vic.)
"$1,250-$1,499",4,124,610,215,145,123,114,62,7,1411,Hawthorn (Vic.)
"$1,500-$1,749",3,62,646,239,167,152,118,45,13,1441,Hawthorn (Vic.)
"$1,750-$1,999",0,30,416,277,137,115,78,49,7,1111,Hawthorn (Vic.)
"$2,000-$2,999",0,21,719,625,382,287,145,50,5,2239,Hawthorn (Vic.)
"$3,000-$3,499",0,6,113,203,164,104,44,26,3,674,Hawthorn (Vic.)
"$3,500 or more",0,3,131,534,740,453,201,68,17,2151,Hawthorn (Vic.)
Personal income not stated,67,97,243,142,116,121,82,66,40,985,Hawthorn (Vic.)
Total,1331,2174,4984,3183,2598,2111,1741,1050,409,19579,Hawthorn (Vic.)
Negative/Nil income,7,0,0,0,0,7,5,0,0,19,Grangefields
$1-$149,0,0,0,0,0,0,0,0,0,3,Grangefields
$150-$299,0,0,0,4,0,3,3,0,0,15,Grangefields
$300-$399,0,0,0,4,0,0,0,0,0,6,Grangefields
$400-$499,0,0,3,0,0,0,3,0,0,7,Grangefields
$500-$649,0,0,3,4,0,0,0,0,0,10,Grangefields
$650-$799,0,0,0,0,0,0,0,0,0,11,Grangefields
$800-$999 ,0,3,0,0,0,0,0,0,0,8,Grangefields
"$1,000-$1,249",0,0,3,0,0,0,0,0,0,9,Grangefields
"$1,250-$1,499",0,0,5,0,0,0,0,0,0,7,Grangefields
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,4,Grangefields
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,5,Grangefields
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,5,Grangefields
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Grangefields
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Grangefields
Personal income not stated,0,0,0,0,0,0,0,0,0,9,Grangefields
Total,16,8,17,18,17,11,20,3,0,110,Grangefields
Negative/Nil income,7,0,0,0,3,0,0,0,0,10,Minhamite
$1-$149,0,0,0,0,0,0,0,0,0,0,Minhamite
$150-$299,0,0,0,0,0,0,0,0,0,4,Minhamite
$300-$399,0,0,0,0,0,0,0,0,4,8,Minhamite
$400-$499,0,0,0,0,6,0,0,0,0,9,Minhamite
$500-$649,0,0,0,0,0,0,0,0,0,9,Minhamite
$650-$799,0,0,0,0,0,0,0,0,0,6,Minhamite
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Minhamite
"$1,000-$1,249",0,3,0,3,6,0,3,0,0,11,Minhamite
"$1,250-$1,499",0,0,0,4,0,0,0,0,0,9,Minhamite
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Minhamite
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,3,Minhamite
"$2,000-$2,999",0,0,0,0,0,4,0,0,0,8,Minhamite
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Minhamite
"$3,500 or more",0,0,0,0,0,0,0,0,0,3,Minhamite
Personal income not stated,0,0,0,0,0,0,0,0,0,5,Minhamite
Total,8,6,6,14,19,8,3,7,4,79,Minhamite
Negative/Nil income,150,27,36,37,35,42,63,21,9,417,Moorabbin
$1-$149,72,22,18,12,18,11,24,14,3,190,Moorabbin
$150-$299,37,24,25,24,23,25,33,25,12,211,Moorabbin
$300-$399,5,28,27,24,30,28,71,71,36,324,Moorabbin
$400-$499,12,26,25,33,31,45,73,69,44,364,Moorabbin
$500-$649,9,24,37,38,48,53,63,49,15,348,Moorabbin
$650-$799,5,31,44,42,45,54,38,22,3,293,Moorabbin
$800-$999 ,6,28,69,85,61,73,42,16,6,387,Moorabbin
"$1,000-$1,249",0,36,132,94,90,62,38,10,4,477,Moorabbin
"$1,250-$1,499",0,17,83,80,58,61,23,9,3,332,Moorabbin
"$1,500-$1,749",0,5,86,115,79,58,18,3,4,365,Moorabbin
"$1,750-$1,999",0,5,68,81,70,46,14,3,0,286,Moorabbin
"$2,000-$2,999",0,0,96,181,142,62,5,0,0,496,Moorabbin
"$3,000-$3,499",0,0,23,53,35,20,3,3,0,134,Moorabbin
"$3,500 or more",0,0,17,86,73,31,8,6,3,216,Moorabbin
Personal income not stated,13,13,44,61,34,33,29,37,17,277,Moorabbin
Total,311,301,832,1061,876,695,530,358,161,5121,Moorabbin
Negative/Nil income,0,3,0,0,0,5,0,0,0,7,Brimpaen
$1-$149,0,0,0,0,0,3,0,0,0,4,Brimpaen
$150-$299,0,0,0,0,0,0,0,0,0,0,Brimpaen
$300-$399,0,0,0,0,0,0,0,0,0,4,Brimpaen
$400-$499,0,0,0,0,0,0,0,0,0,4,Brimpaen
$500-$649,0,0,4,0,0,0,0,0,0,8,Brimpaen
$650-$799,0,4,0,0,0,0,0,0,0,4,Brimpaen
$800-$999 ,0,4,0,0,0,0,0,0,0,4,Brimpaen
"$1,000-$1,249",0,0,0,0,0,5,0,0,0,9,Brimpaen
"$1,250-$1,499",0,0,0,0,0,0,0,3,0,10,Brimpaen
"$1,500-$1,749",0,0,0,0,3,0,0,0,0,6,Brimpaen
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Brimpaen
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Brimpaen
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Brimpaen
"$3,500 or more",0,0,0,4,0,0,0,0,0,4,Brimpaen
Personal income not stated,0,4,0,0,0,4,0,0,0,8,Brimpaen
Total,4,12,4,5,18,17,7,0,0,75,Brimpaen
Negative/Nil income,0,0,0,0,0,0,0,0,0,5,Boorhaman North
$1-$149,0,0,0,0,0,0,0,0,0,0,Boorhaman North
$150-$299,0,0,0,0,0,0,0,0,0,0,Boorhaman North
$300-$399,0,0,0,0,0,0,0,0,0,0,Boorhaman North
$400-$499,0,0,0,0,0,0,0,0,0,3,Boorhaman North
$500-$649,0,0,0,0,0,0,5,0,0,8,Boorhaman North
$650-$799,0,0,0,0,0,0,0,0,0,0,Boorhaman North
$800-$999 ,0,0,0,0,0,0,0,0,0,4,Boorhaman North
"$1,000-$1,249",0,0,0,3,0,0,0,0,0,5,Boorhaman North
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Boorhaman North
"$1,500-$1,749",0,0,0,3,0,0,0,0,0,6,Boorhaman North
"$1,750-$1,999",0,0,5,0,3,0,0,0,0,3,Boorhaman North
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Boorhaman North
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Boorhaman North
